datetime,choke,psig,apsig,oil,gas,water,liquid
15/5/2021 21:00:00,38,935,320,698.88,4.98,23.616,722.5
15/5/2021 21:15:00,38,935,321,822.456,4.988,32.592,855
15/5/2021 21:30:00,38,940,318,661.368,5.07,26.208,687.6
15/5/2021 21:45:00,38,938,317,737.664,5.061,29.232,766.9
15/5/2021 22:00:00,38,940,319,661.368,5.078,26.208,687.6
15/5/2021 22:15:00,38,942,319,712.248,5.078,28.224,740.5
15/5/2021 22:30:00,38,940,316,771.6,5.074,30.576,802.2
15/5/2021 22:45:00,38,942,318,678.312,5.091,26.88,705.2
15/5/2021 23:00:00,38,940,318,747.36,5.091,28.224,775.6
15/5/2021 23:15:00,38,945,320,693.96,5.086,26.208,720.2
15/5/2021 23:30:00,38,942,321,800.712,5.094,30.24,831
15/5/2021 23:45:00,38,944,322,782.928,5.165,29.568,812.5
15/5/2021 00:00:00,38,945,324,720.648,5.182,27.216,747.9
16/5/2021 00:15:00,38,935,314,720.672,5.037,27.216,747.9
16/5/2021 00:30:00,38,940,315,710.136,5.045,18.96,729.1
16/5/2021 00:45:00,38,936,313,746.088,5.028,19.92,766
16/5/2021 01:00:00,38,938,314,809.016,5.037,21.6,830.6
16/5/2021 01:15:00,38,939,313,719.112,5.028,19.2,738.3
16/5/2021 01:30:00,38,943,316,715.44,5.053,23.04,738.5
16/5/2021 01:45:00,38,935,314,719.112,4.974,19.2,738.3
16/5/2021 02:00:00,38,925,310,737.856,4.962,19.68,757.5
16/5/2021 02:15:00,38,911,312,773.064,4.979,20.64,793.7
16/5/2021 02:30:00,38,937,322,777.024,5.186,16.512,793.5
16/5/2021 02:45:00,38,934,319,731.856,5.202,15.552,747.4
16/5/2021 03:00:00,38,932,318,777.024,5.194,16.512,793.5
16/5/2021 03:15:00,38,931,315,786.048,5.189,16.704,802.8
16/5/2021 03:30:00,38,928,317,786.048,5.206,16.704,802.8
16/5/2021 03:45:00,38,927,319,786.048,5.182,16.704,802.8
16/5/2021 04:00:00,38,928,317,795.096,5.175,16.896,812
16/5/2021 04:15:00,38,932,319,812.328,5.192,8.544,820.9
16/5/2021 04:30:00,38,930,317,775.824,5.216,8.16,784
16/5/2021 04:45:00,38,931,320,813.168,5.242,17.28,830.4
16/5/2021 05:00:00,38,930,319,795.096,5.233,16.896,812
16/5/2021 05:15:00,38,934,321,822.192,5.25,17.472,839.7
16/5/2021 05:30:00,38,935,323,777.024,5.267,16.512,793.5
16/5/2021 05:45:00,38,920,320,809.016,5.242,21.6,830.6
16/5/2021 06:00:00,38,934,324,769.104,5.275,24.768,793.9
16/5/2021 06:15:00,38,932,321,795.912,5.25,25.632,821.5
16/5/2021 06:30:00,38,924,324,722.808,5.275,15.36,738.2
16/5/2021 06:45:00,38,924,323,885.072,5.267,38.4,923.5
16/5/2021 07:00:00,38,925,320,804.864,5.242,25.92,830.8
16/5/2021 07:15:00,38,920,319,769.104,5.233,24.768,793.9
16/5/2021 07:30:00,38,935,324,813.816,5.275,26.208,840
16/5/2021 07:45:00,38,930,326,893.376,5.292,28.8,922.2
16/5/2021 08:00:00,38,923,324,661.776,5.296,21.312,683.1
16/5/2021 08:15:00,38,925,324,786.984,5.296,25.344,812.3
16/5/2021 08:30:00,38,930,325,786.912,5.304,34.176,821.1
16/5/2021 08:45:00,38,930,320,743.472,5.262,32.256,775.7
16/5/2021 09:00:00,38,925,317,804.864,5.236,25.92,830.8
16/5/2021 09:15:00,38,923,315,795.912,5.219,25.632,821.5
16/5/2021 09:30:00,38,935,318,831.96,5.245,36.096,868.1
16/5/2021 09:45:00,38,955,316,804.864,5.207,25.92,830.8
